"DAYSAHEAD","TARGETDATE","FORECASTDEMAND","CARDINALPOINT","CP_TYPE","CP_ST_TIME","CP_END_TIME","F_Point","FORECAST_TIMESTAMP"
1,"2018-01-02",24920,"1F","F",30,30,NA,"2018-01-01T08:46:43Z"
1,"2018-01-02",25250,"1A","P",100,230,NA,"2018-01-01T08:46:43Z"
1,"2018-01-02",23390,"03","F",300,300,NA,"2018-01-01T08:46:43Z"
1,"2018-01-02",22480,"1B","T",430,730,"Om","2018-01-01T08:46:43Z"
1,"2018-01-02",37190,"2F","P",800,900,NA,"2018-01-01T08:46:43Z"
1,"2018-01-02",38930,"2A","P",930,1030,NA,"2018-01-01T08:46:43Z"
1,"2018-01-02",40050,"2B","P",1100,1300,"DM","2018-01-01T08:46:43Z"
1,"2018-01-02",39630,"3B","T",1330,1630,"Dm","2018-01-01T08:46:43Z"
1,"2018-01-02",44500,"DP","P",1700,1930,"EM","2018-01-01T08:46:43Z"
1,"2018-01-02",37530,"4B","F",2100,2100,NA,"2018-01-01T08:46:43Z"
1,"2018-01-02",26690,"4C","F",2400,2400,NA,"2018-01-01T08:46:43Z"
1,"2018-01-03",25520,"1F","F",30,30,NA,"2018-01-02T08:43:47Z"
1,"2018-01-03",25570,"1A","P",100,230,NA,"2018-01-02T08:43:47Z"
1,"2018-01-03",23890,"03","F",300,300,NA,"2018-01-02T08:43:47Z"
1,"2018-01-03",23200,"1B","T",430,730,"Om","2018-01-02T08:43:47Z"
1,"2018-01-03",39730,"2F","P",800,900,NA,"2018-01-02T08:43:47Z"
1,"2018-01-03",40380,"2A","P",930,1030,"DM","2018-01-02T08:43:47Z"
1,"2018-01-03",39870,"2B","P",1100,1300,NA,"2018-01-02T08:43:47Z"
1,"2018-01-03",39610,"3B","T",1330,1630,"Dm","2018-01-02T08:43:47Z"
1,"2018-01-03",46730,"DP","P",1700,1930,"EM","2018-01-02T08:43:47Z"
1,"2018-01-03",39850,"4B","F",2100,2100,NA,"2018-01-02T08:43:47Z"
1,"2018-01-03",27830,"4C","F",2400,2400,NA,"2018-01-02T08:43:47Z"
1,"2018-01-04",27230,"1F","F",30,30,NA,"2018-01-03T08:33:46Z"
1,"2018-01-04",27610,"1A","P",100,230,NA,"2018-01-03T08:33:46Z"
1,"2018-01-04",26270,"03","F",300,300,NA,"2018-01-03T08:33:46Z"
1,"2018-01-04",25650,"1B","T",430,730,"Om","2018-01-03T08:33:46Z"
1,"2018-01-04",41210,"2F","P",800,900,NA,"2018-01-03T08:33:46Z"
1,"2018-01-04",41930,"2A","P",930,1030,"DM","2018-01-03T08:33:46Z"
1,"2018-01-04",41470,"2B","P",1100,1300,NA,"2018-01-03T08:33:46Z"
1,"2018-01-04",40820,"3B","T",1330,1630,"Dm","2018-01-03T08:33:46Z"
1,"2018-01-04",46740,"DP","P",1700,1930,"EM","2018-01-03T08:33:46Z"
1,"2018-01-04",40150,"4B","F",2100,2100,NA,"2018-01-03T08:33:46Z"
1,"2018-01-04",28210,"4C","F",2400,2400,NA,"2018-01-03T08:33:46Z"
1,"2018-01-05",28980,"1F","F",30,30,NA,"2018-01-04T08:20:48Z"
1,"2018-01-05",29260,"1A","P",100,230,NA,"2018-01-04T08:20:48Z"
1,"2018-01-05",27280,"03","F",300,300,NA,"2018-01-04T08:20:48Z"
1,"2018-01-05",26040,"1B","T",430,730,"Om","2018-01-04T08:20:48Z"
1,"2018-01-05",41500,"2F","P",800,900,NA,"2018-01-04T08:20:48Z"
1,"2018-01-05",42020,"2A","P",930,1030,"DM","2018-01-04T08:20:48Z"
1,"2018-01-05",41460,"2B","P",1100,1300,NA,"2018-01-04T08:20:48Z"
1,"2018-01-05",40590,"3B","T",1330,1630,"Dm","2018-01-04T08:20:48Z"
1,"2018-01-05",46520,"DP","P",1700,1930,"EM","2018-01-04T08:20:48Z"
1,"2018-01-05",39550,"4B","F",2100,2100,NA,"2018-01-04T08:20:48Z"
1,"2018-01-05",28960,"4C","F",2400,2400,NA,"2018-01-04T08:20:48Z"
1,"2018-01-06",29150,"1F","F",30,30,NA,"2018-01-05T08:35:49Z"
1,"2018-01-06",29400,"1A","P",100,230,NA,"2018-01-05T08:35:49Z"
1,"2018-01-06",26560,"03","F",300,300,NA,"2018-01-05T08:35:49Z"
1,"2018-01-06",24620,"1B","T",430,730,"Om","2018-01-05T08:35:49Z"
1,"2018-01-06",34690,"2F","P",800,900,NA,"2018-01-05T08:35:49Z"
1,"2018-01-06",37150,"2A","P",930,1030,"DM","2018-01-05T08:35:49Z"
1,"2018-01-06",37060,"2B","P",1100,1300,NA,"2018-01-05T08:35:49Z"
1,"2018-01-06",36150,"3B","T",1330,1630,"Dm","2018-01-05T08:35:49Z"
1,"2018-01-06",43920,"DP","P",1700,1930,"EM","2018-01-05T08:35:49Z"
1,"2018-01-06",37100,"4B","F",2100,2100,NA,"2018-01-05T08:35:49Z"
1,"2018-01-06",28710,"4C","F",2400,2400,NA,"2018-01-05T08:35:49Z"
1,"2018-01-07",29170,"1F","F",30,30,NA,"2018-01-06T08:20:24Z"
1,"2018-01-07",29340,"1A","P",100,230,NA,"2018-01-06T08:20:24Z"
1,"2018-01-07",27470,"03","F",300,300,NA,"2018-01-06T08:20:24Z"
1,"2018-01-07",25370,"1B","T",430,730,"Om","2018-01-06T08:20:24Z"
1,"2018-01-07",32010,"2F","P",800,900,NA,"2018-01-06T08:20:24Z"
1,"2018-01-07",35860,"2A","P",930,1030,NA,"2018-01-06T08:20:24Z"
1,"2018-01-07",36890,"2B","P",1100,1300,"DM","2018-01-06T08:20:24Z"
1,"2018-01-07",37080,"3B","T",1330,1630,"Dm","2018-01-06T08:20:24Z"
1,"2018-01-07",45600,"DP","P",1700,1930,"EM","2018-01-06T08:20:24Z"
1,"2018-01-07",39090,"4B","F",2100,2100,NA,"2018-01-06T08:20:24Z"
1,"2018-01-07",28390,"4C","F",2400,2400,NA,"2018-01-06T08:20:24Z"
1,"2018-01-08",27470,"1F","F",30,30,NA,"2018-01-07T07:54:14Z"
1,"2018-01-08",28200,"1A","P",100,230,NA,"2018-01-07T07:54:14Z"
1,"2018-01-08",27580,"03","F",300,300,NA,"2018-01-07T07:54:14Z"
1,"2018-01-08",26030,"1B","T",430,730,"Om","2018-01-07T07:54:14Z"
1,"2018-01-08",42320,"2F","P",800,900,NA,"2018-01-07T07:54:14Z"
1,"2018-01-08",43760,"2A","P",930,1030,NA,"2018-01-07T07:54:14Z"
1,"2018-01-08",44490,"2B","P",1100,1300,"DM","2018-01-07T07:54:14Z"
1,"2018-01-08",43920,"3B","T",1330,1630,"Dm","2018-01-07T07:54:14Z"
1,"2018-01-08",49380,"DP","P",1700,1930,"EM","2018-01-07T07:54:14Z"
1,"2018-01-08",42460,"4B","F",2100,2100,NA,"2018-01-07T07:54:14Z"
1,"2018-01-08",29520,"4C","F",2400,2400,NA,"2018-01-07T07:54:14Z"
1,"2018-01-09",28240,"1F","F",30,30,NA,"2018-01-08T08:41:46Z"
1,"2018-01-09",28780,"1A","P",100,230,NA,"2018-01-08T08:41:46Z"
1,"2018-01-09",28190,"03","F",300,300,NA,"2018-01-08T08:41:46Z"
1,"2018-01-09",26970,"1B","T",430,730,"Om","2018-01-08T08:41:46Z"
1,"2018-01-09",42570,"2F","P",800,900,NA,"2018-01-08T08:41:46Z"
1,"2018-01-09",44170,"2A","P",930,1030,NA,"2018-01-08T08:41:46Z"
1,"2018-01-09",45160,"2B","P",1100,1300,"DM","2018-01-08T08:41:46Z"
1,"2018-01-09",44330,"3B","T",1330,1630,"Dm","2018-01-08T08:41:46Z"
1,"2018-01-09",49320,"DP","P",1700,1930,"EM","2018-01-08T08:41:46Z"
1,"2018-01-09",42150,"4B","F",2100,2100,NA,"2018-01-08T08:41:46Z"
1,"2018-01-09",29570,"4C","F",2400,2400,NA,"2018-01-08T08:41:46Z"
1,"2018-01-10",29120,"1F","F",30,30,NA,"2018-01-09T08:42:26Z"
1,"2018-01-10",29660,"1A","P",100,230,NA,"2018-01-09T08:42:26Z"
1,"2018-01-10",28050,"03","F",300,300,NA,"2018-01-09T08:42:26Z"
1,"2018-01-10",27330,"1B","T",430,730,"Om","2018-01-09T08:42:26Z"
1,"2018-01-10",42960,"2F","P",800,900,NA,"2018-01-09T08:42:26Z"
1,"2018-01-10",43930,"2A","P",930,1030,"DM","2018-01-09T08:42:26Z"
1,"2018-01-10",43250,"2B","P",1100,1300,NA,"2018-01-09T08:42:26Z"
1,"2018-01-10",42560,"3B","T",1330,1630,"Dm","2018-01-09T08:42:26Z"
1,"2018-01-10",50060,"DP","P",1700,1930,"EM","2018-01-09T08:42:26Z"
1,"2018-01-10",42650,"4B","F",2100,2100,NA,"2018-01-09T08:42:26Z"
1,"2018-01-10",30560,"4C","F",2400,2400,NA,"2018-01-09T08:42:26Z"
1,"2018-01-11",30360,"1F","F",30,30,NA,"2018-01-10T08:44:37Z"
1,"2018-01-11",30720,"1A","P",100,230,NA,"2018-01-10T08:44:37Z"
1,"2018-01-11",29100,"03","F",300,300,NA,"2018-01-10T08:44:37Z"
1,"2018-01-11",28000,"1B","T",430,730,"Om","2018-01-10T08:44:37Z"
1,"2018-01-11",43600,"2F","P",800,900,NA,"2018-01-10T08:44:37Z"
1,"2018-01-11",44500,"2A","P",930,1030,"DM","2018-01-10T08:44:37Z"
1,"2018-01-11",44410,"2B","P",1100,1300,NA,"2018-01-10T08:44:37Z"
1,"2018-01-11",44140,"3B","T",1330,1630,"Dm","2018-01-10T08:44:37Z"
1,"2018-01-11",50210,"DP","P",1700,1930,"EM","2018-01-10T08:44:37Z"
1,"2018-01-11",43180,"4B","F",2100,2100,NA,"2018-01-10T08:44:37Z"
1,"2018-01-11",31160,"4C","F",2400,2400,NA,"2018-01-10T08:44:37Z"
1,"2018-01-12",30170,"1F","F",30,30,NA,"2018-01-11T08:28:42Z"
1,"2018-01-12",30850,"1A","P",100,230,NA,"2018-01-11T08:28:42Z"
1,"2018-01-12",29110,"03","F",300,300,NA,"2018-01-11T08:28:42Z"
1,"2018-01-12",27910,"1B","T",430,730,"Om","2018-01-11T08:28:42Z"
1,"2018-01-12",42740,"2F","P",800,900,NA,"2018-01-11T08:28:42Z"
1,"2018-01-12",43350,"2A","P",930,1030,"DM","2018-01-11T08:28:42Z"
1,"2018-01-12",43280,"2B","P",1100,1300,NA,"2018-01-11T08:28:42Z"
1,"2018-01-12",41740,"3B","T",1330,1630,"Dm","2018-01-11T08:28:42Z"
1,"2018-01-12",46540,"DP","P",1700,1930,"EM","2018-01-11T08:28:42Z"
1,"2018-01-12",39000,"4B","F",2100,2100,NA,"2018-01-11T08:28:42Z"
1,"2018-01-12",28800,"4C","F",2400,2400,NA,"2018-01-11T08:28:42Z"
1,"2018-01-13",28870,"1F","F",30,30,NA,"2018-01-12T08:29:05Z"
1,"2018-01-13",29280,"1A","P",100,230,NA,"2018-01-12T08:29:05Z"
1,"2018-01-13",27100,"03","F",300,300,NA,"2018-01-12T08:29:05Z"
1,"2018-01-13",24970,"1B","T",430,730,"Om","2018-01-12T08:29:05Z"
1,"2018-01-13",33560,"2F","P",800,900,NA,"2018-01-12T08:29:05Z"
1,"2018-01-13",36430,"2A","P",930,1030,NA,"2018-01-12T08:29:05Z"
1,"2018-01-13",36750,"2B","P",1100,1300,"DM","2018-01-12T08:29:05Z"
1,"2018-01-13",36460,"3B","T",1330,1630,"Dm","2018-01-12T08:29:05Z"
1,"2018-01-13",42040,"DP","P",1700,1930,"EM","2018-01-12T08:29:05Z"
1,"2018-01-13",35880,"4B","F",2100,2100,NA,"2018-01-12T08:29:05Z"
1,"2018-01-13",28080,"4C","F",2400,2400,NA,"2018-01-12T08:29:05Z"
1,"2018-01-14",27770,"1F","F",30,30,NA,"2018-01-13T08:43:20Z"
1,"2018-01-14",28190,"1A","P",100,230,NA,"2018-01-13T08:43:20Z"
1,"2018-01-14",26090,"03","F",300,300,NA,"2018-01-13T08:43:20Z"
1,"2018-01-14",24730,"1B","T",430,730,"Om","2018-01-13T08:43:20Z"
1,"2018-01-14",30250,"2F","P",800,900,NA,"2018-01-13T08:43:20Z"
1,"2018-01-14",34630,"2A","P",930,1030,NA,"2018-01-13T08:43:20Z"
1,"2018-01-14",36510,"2B","P",1100,1300,"DM","2018-01-13T08:43:20Z"
1,"2018-01-14",36630,"3B","T",1330,1630,"Dm","2018-01-13T08:43:20Z"
1,"2018-01-14",42630,"DP","P",1700,1930,"EM","2018-01-13T08:43:20Z"
1,"2018-01-14",36190,"4B","F",2100,2100,NA,"2018-01-13T08:43:20Z"
1,"2018-01-14",25810,"4C","F",2400,2400,NA,"2018-01-13T08:43:20Z"
1,"2018-01-15",26150,"1F","F",30,30,NA,"2018-01-14T08:24:21Z"
1,"2018-01-15",26570,"1A","P",100,230,NA,"2018-01-14T08:24:21Z"
1,"2018-01-15",25120,"03","F",300,300,NA,"2018-01-14T08:24:21Z"
1,"2018-01-15",23950,"1B","T",430,730,"Om","2018-01-14T08:24:21Z"
1,"2018-01-15",40080,"2F","P",800,900,NA,"2018-01-14T08:24:21Z"
1,"2018-01-15",40910,"2A","P",930,1030,"DM","2018-01-14T08:24:21Z"
1,"2018-01-15",40720,"2B","P",1100,1300,NA,"2018-01-14T08:24:21Z"
1,"2018-01-15",40750,"3B","T",1330,1630,"Dm","2018-01-14T08:24:21Z"
1,"2018-01-15",47740,"DP","P",1700,1930,"EM","2018-01-14T08:24:21Z"
1,"2018-01-15",40150,"4B","F",2100,2100,NA,"2018-01-14T08:24:21Z"
1,"2018-01-15",27700,"4C","F",2400,2400,NA,"2018-01-14T08:24:21Z"
1,"2018-01-16",27400,"1F","F",30,30,NA,"2018-01-15T08:58:58Z"
1,"2018-01-16",27720,"1A","P",100,230,NA,"2018-01-15T08:58:58Z"
1,"2018-01-16",26450,"03","F",300,300,NA,"2018-01-15T08:58:58Z"
1,"2018-01-16",25120,"1B","T",430,730,"Om","2018-01-15T08:58:58Z"
1,"2018-01-16",40020,"2F","P",800,900,NA,"2018-01-15T08:58:58Z"
1,"2018-01-16",40880,"2A","P",930,1030,"DM","2018-01-15T08:58:58Z"
1,"2018-01-16",40130,"2B","P",1100,1300,NA,"2018-01-15T08:58:58Z"
1,"2018-01-16",40290,"3B","T",1330,1630,"Dm","2018-01-15T08:58:58Z"
1,"2018-01-16",47460,"DP","P",1700,1930,"EM","2018-01-15T08:58:58Z"
1,"2018-01-16",40490,"4B","F",2100,2100,NA,"2018-01-15T08:58:58Z"
1,"2018-01-16",27710,"4C","F",2400,2400,NA,"2018-01-15T08:58:58Z"
1,"2018-01-17",27320,"1F","F",30,30,NA,"2018-01-16T08:36:22Z"
1,"2018-01-17",27510,"1A","P",100,230,NA,"2018-01-16T08:36:22Z"
1,"2018-01-17",26910,"03","F",300,300,NA,"2018-01-16T08:36:22Z"
1,"2018-01-17",25710,"1B","T",430,730,"Om","2018-01-16T08:36:22Z"
1,"2018-01-17",40170,"2F","P",800,900,NA,"2018-01-16T08:36:22Z"
1,"2018-01-17",40840,"2A","P",930,1030,"DM","2018-01-16T08:36:22Z"
1,"2018-01-17",40130,"2B","P",1100,1300,NA,"2018-01-16T08:36:22Z"
1,"2018-01-17",39390,"3B","T",1330,1630,"Dm","2018-01-16T08:36:22Z"
1,"2018-01-17",46530,"DP","P",1700,1930,"EM","2018-01-16T08:36:22Z"
1,"2018-01-17",40740,"4B","F",2100,2100,NA,"2018-01-16T08:36:22Z"
1,"2018-01-17",27560,"4C","F",2400,2400,NA,"2018-01-16T08:36:22Z"
1,"2018-01-18",29230,"1F","F",30,30,NA,"2018-01-17T08:47:26Z"
1,"2018-01-18",29630,"1A","P",100,230,NA,"2018-01-17T08:47:26Z"
1,"2018-01-18",27010,"03","F",300,300,NA,"2018-01-17T08:47:26Z"
1,"2018-01-18",25930,"1B","T",430,730,"Om","2018-01-17T08:47:26Z"
1,"2018-01-18",41440,"2F","P",800,900,NA,"2018-01-17T08:47:26Z"
1,"2018-01-18",42060,"2A","P",930,1030,"DM","2018-01-17T08:47:26Z"
1,"2018-01-18",41300,"2B","P",1100,1300,NA,"2018-01-17T08:47:26Z"
1,"2018-01-18",40680,"3B","T",1330,1630,"Dm","2018-01-17T08:47:26Z"
1,"2018-01-18",46700,"DP","P",1700,1930,"EM","2018-01-17T08:47:26Z"
1,"2018-01-18",40540,"4B","F",2100,2100,NA,"2018-01-17T08:47:26Z"
1,"2018-01-18",28490,"4C","F",2400,2400,NA,"2018-01-17T08:47:26Z"
1,"2018-01-19",29150,"1F","F",30,30,NA,"2018-01-18T08:47:18Z"
1,"2018-01-19",29490,"1A","P",100,230,NA,"2018-01-18T08:47:18Z"
1,"2018-01-19",28500,"03","F",300,300,NA,"2018-01-18T08:47:18Z"
1,"2018-01-19",27240,"1B","T",430,730,"Om","2018-01-18T08:47:18Z"
1,"2018-01-19",42610,"2F","P",800,900,NA,"2018-01-18T08:47:18Z"
1,"2018-01-19",42820,"2A","P",930,1030,"DM","2018-01-18T08:47:18Z"
1,"2018-01-19",41630,"2B","P",1100,1300,NA,"2018-01-18T08:47:18Z"
1,"2018-01-19",40350,"3B","T",1330,1630,"Dm","2018-01-18T08:47:18Z"
1,"2018-01-19",46490,"DP","P",1700,1930,"EM","2018-01-18T08:47:18Z"
1,"2018-01-19",39170,"4B","F",2100,2100,NA,"2018-01-18T08:47:18Z"
1,"2018-01-19",28690,"4C","F",2400,2400,NA,"2018-01-18T08:47:18Z"
1,"2018-01-20",29460,"1F","F",30,30,NA,"2018-01-19T08:29:18Z"
1,"2018-01-20",30530,"1A","P",100,230,NA,"2018-01-19T08:29:18Z"
1,"2018-01-20",28310,"03","F",300,300,NA,"2018-01-19T08:29:18Z"
1,"2018-01-20",26920,"1B","T",430,730,"Om","2018-01-19T08:29:18Z"
1,"2018-01-20",36900,"2F","P",800,900,NA,"2018-01-19T08:29:18Z"
1,"2018-01-20",39560,"2A","P",930,1030,"DM","2018-01-19T08:29:18Z"
1,"2018-01-20",39320,"2B","P",1100,1300,NA,"2018-01-19T08:29:18Z"
1,"2018-01-20",38000,"3B","T",1330,1630,"Dm","2018-01-19T08:29:18Z"
1,"2018-01-20",44440,"DP","P",1700,1930,"EM","2018-01-19T08:29:18Z"
1,"2018-01-20",37790,"4B","F",2100,2100,NA,"2018-01-19T08:29:18Z"
1,"2018-01-20",30390,"4C","F",2400,2400,NA,"2018-01-19T08:29:18Z"
1,"2018-01-21",28260,"1F","F",30,30,NA,"2018-01-20T08:33:35Z"
1,"2018-01-21",29280,"1A","P",100,230,NA,"2018-01-20T08:33:35Z"
1,"2018-01-21",28090,"03","F",300,300,NA,"2018-01-20T08:33:35Z"
1,"2018-01-21",25490,"1B","T",430,730,"Om","2018-01-20T08:33:35Z"
1,"2018-01-21",33270,"2F","P",800,900,NA,"2018-01-20T08:33:35Z"
1,"2018-01-21",37370,"2A","P",930,1030,NA,"2018-01-20T08:33:35Z"
1,"2018-01-21",40280,"2B","P",1100,1300,"DM","2018-01-20T08:33:35Z"
1,"2018-01-21",40350,"3B","T",1330,1630,"Dm","2018-01-20T08:33:35Z"
1,"2018-01-21",44570,"DP","P",1700,1930,"EM","2018-01-20T08:33:35Z"
1,"2018-01-21",36990,"4B","F",2100,2100,NA,"2018-01-20T08:33:35Z"
1,"2018-01-21",26420,"4C","F",2400,2400,NA,"2018-01-20T08:33:35Z"
1,"2018-01-22",26190,"1F","F",30,30,NA,"2018-01-21T08:29:09Z"
1,"2018-01-22",26810,"1A","P",100,230,NA,"2018-01-21T08:29:09Z"
1,"2018-01-22",25860,"03","F",300,300,NA,"2018-01-21T08:29:09Z"
1,"2018-01-22",25150,"1B","T",430,730,"Om","2018-01-21T08:29:09Z"
1,"2018-01-22",42040,"2F","P",800,900,NA,"2018-01-21T08:29:09Z"
1,"2018-01-22",42250,"2A","P",930,1030,"DM","2018-01-21T08:29:09Z"
1,"2018-01-22",41580,"2B","P",1100,1300,NA,"2018-01-21T08:29:09Z"
1,"2018-01-22",41140,"3B","T",1330,1630,"Dm","2018-01-21T08:29:09Z"
1,"2018-01-22",48080,"DP","P",1700,1930,"EM","2018-01-21T08:29:09Z"
1,"2018-01-22",40710,"4B","F",2100,2100,NA,"2018-01-21T08:29:09Z"
1,"2018-01-22",28010,"4C","F",2400,2400,NA,"2018-01-21T08:29:09Z"
1,"2018-01-23",27210,"1F","F",30,30,NA,"2018-01-22T08:31:29Z"
1,"2018-01-23",27450,"1A","P",100,230,NA,"2018-01-22T08:31:29Z"
1,"2018-01-23",26100,"03","F",300,300,NA,"2018-01-22T08:31:29Z"
1,"2018-01-23",24920,"1B","T",430,730,"Om","2018-01-22T08:31:29Z"
1,"2018-01-23",39760,"2F","P",800,900,NA,"2018-01-22T08:31:29Z"
1,"2018-01-23",40870,"2A","P",930,1030,NA,"2018-01-22T08:31:29Z"
1,"2018-01-23",41270,"2B","P",1100,1300,"DM","2018-01-22T08:31:29Z"
1,"2018-01-23",40380,"3B","T",1330,1630,"Dm","2018-01-22T08:31:29Z"
1,"2018-01-23",45720,"DP","P",1700,1930,"EM","2018-01-22T08:31:29Z"
1,"2018-01-23",38990,"4B","F",2100,2100,NA,"2018-01-22T08:31:29Z"
1,"2018-01-23",26850,"4C","F",2400,2400,NA,"2018-01-22T08:31:29Z"
1,"2018-01-24",26840,"1F","F",30,30,NA,"2018-01-23T08:44:41Z"
1,"2018-01-24",26970,"1A","P",100,230,NA,"2018-01-23T08:44:41Z"
1,"2018-01-24",24390,"03","F",300,300,NA,"2018-01-23T08:44:41Z"
1,"2018-01-24",22400,"1B","T",430,730,"Om","2018-01-23T08:44:41Z"
1,"2018-01-24",38620,"2F","P",800,900,NA,"2018-01-23T08:44:41Z"
1,"2018-01-24",40080,"2A","P",930,1030,NA,"2018-01-23T08:44:41Z"
1,"2018-01-24",41280,"2B","P",1100,1300,"DM","2018-01-23T08:44:41Z"
1,"2018-01-24",40590,"3B","T",1330,1630,"Dm","2018-01-23T08:44:41Z"
1,"2018-01-24",45750,"DP","P",1700,1930,"EM","2018-01-23T08:44:41Z"
1,"2018-01-24",39260,"4B","F",2100,2100,NA,"2018-01-23T08:44:41Z"
1,"2018-01-24",27270,"4C","F",2400,2400,NA,"2018-01-23T08:44:41Z"
1,"2018-01-25",26470,"1F","F",30,30,NA,"2018-01-24T08:49:49Z"
1,"2018-01-25",26900,"1A","P",100,230,NA,"2018-01-24T08:49:49Z"
1,"2018-01-25",24990,"03","F",300,300,NA,"2018-01-24T08:49:49Z"
1,"2018-01-25",23880,"1B","T",430,730,"Om","2018-01-24T08:49:49Z"
1,"2018-01-25",39390,"2F","P",800,900,NA,"2018-01-24T08:49:49Z"
1,"2018-01-25",39440,"2A","P",930,1030,"DM","2018-01-24T08:49:49Z"
1,"2018-01-25",38700,"2B","P",1100,1300,NA,"2018-01-24T08:49:49Z"
1,"2018-01-25",38730,"3B","T",1330,1630,"Dm","2018-01-24T08:49:49Z"
1,"2018-01-25",46240,"DP","P",1700,1930,"EM","2018-01-24T08:49:49Z"
1,"2018-01-25",40070,"4B","F",2100,2100,NA,"2018-01-24T08:49:49Z"
1,"2018-01-25",28340,"4C","F",2400,2400,NA,"2018-01-24T08:49:49Z"
1,"2018-01-26",28540,"1F","F",30,30,NA,"2018-01-25T08:30:00Z"
1,"2018-01-26",28980,"1A","P",100,230,NA,"2018-01-25T08:30:00Z"
1,"2018-01-26",27210,"03","F",300,300,NA,"2018-01-25T08:30:00Z"
1,"2018-01-26",26280,"1B","T",430,730,"Om","2018-01-25T08:30:00Z"
1,"2018-01-26",41860,"2F","P",800,900,"DM","2018-01-25T08:30:00Z"
1,"2018-01-26",41850,"2A","P",930,1030,NA,"2018-01-25T08:30:00Z"
1,"2018-01-26",40730,"2B","P",1100,1300,NA,"2018-01-25T08:30:00Z"
1,"2018-01-26",39940,"3B","T",1330,1630,"Dm","2018-01-25T08:30:00Z"
1,"2018-01-26",45770,"DP","P",1700,1930,"EM","2018-01-25T08:30:00Z"
1,"2018-01-26",39300,"4B","F",2100,2100,NA,"2018-01-25T08:30:00Z"
1,"2018-01-26",29110,"4C","F",2400,2400,NA,"2018-01-25T08:30:00Z"
1,"2018-01-27",28430,"1F","F",30,30,NA,"2018-01-26T08:42:27Z"
1,"2018-01-27",28520,"1A","P",100,230,NA,"2018-01-26T08:42:27Z"
1,"2018-01-27",26910,"03","F",300,300,NA,"2018-01-26T08:42:27Z"
1,"2018-01-27",24950,"1B","T",430,730,"Om","2018-01-26T08:42:27Z"
1,"2018-01-27",34170,"2F","P",800,900,NA,"2018-01-26T08:42:27Z"
1,"2018-01-27",36520,"2A","P",930,1030,NA,"2018-01-26T08:42:27Z"
1,"2018-01-27",36940,"2B","P",1100,1300,"DM","2018-01-26T08:42:27Z"
1,"2018-01-27",35970,"3B","T",1330,1630,"Dm","2018-01-26T08:42:27Z"
1,"2018-01-27",40710,"DP","P",1700,1930,"EM","2018-01-26T08:42:27Z"
1,"2018-01-27",33900,"4B","F",2100,2100,NA,"2018-01-26T08:42:27Z"
1,"2018-01-27",26520,"4C","F",2400,2400,NA,"2018-01-26T08:42:27Z"
1,"2018-01-28",25570,"1F","F",30,30,NA,"2018-01-27T08:35:04Z"
1,"2018-01-28",25760,"1A","P",100,230,NA,"2018-01-27T08:35:04Z"
1,"2018-01-28",23590,"03","F",300,300,NA,"2018-01-27T08:35:04Z"
1,"2018-01-28",21380,"1B","T",430,730,"Om","2018-01-27T08:35:04Z"
1,"2018-01-28",27630,"2F","P",800,900,NA,"2018-01-27T08:35:04Z"
1,"2018-01-28",31200,"2A","P",930,1030,NA,"2018-01-27T08:35:04Z"
1,"2018-01-28",33120,"2B","P",1100,1300,"DM","2018-01-27T08:35:04Z"
1,"2018-01-28",32720,"3B","T",1330,1630,"Dm","2018-01-27T08:35:04Z"
1,"2018-01-28",39490,"DP","P",1700,1930,"EM","2018-01-27T08:35:04Z"
1,"2018-01-28",33340,"4B","F",2100,2100,NA,"2018-01-27T08:35:04Z"
1,"2018-01-28",24080,"4C","F",2400,2400,NA,"2018-01-27T08:35:04Z"
1,"2018-01-29",24440,"1F","F",30,30,NA,"2018-01-28T08:23:07Z"
1,"2018-01-29",24960,"1A","P",100,230,NA,"2018-01-28T08:23:07Z"
1,"2018-01-29",22390,"03","F",300,300,NA,"2018-01-28T08:23:07Z"
1,"2018-01-29",22080,"1B","T",430,730,"Om","2018-01-28T08:23:07Z"
1,"2018-01-29",38120,"2F","P",800,900,NA,"2018-01-28T08:23:07Z"
1,"2018-01-29",39170,"2A","P",930,1030,NA,"2018-01-28T08:23:07Z"
1,"2018-01-29",39540,"2B","P",1100,1300,"DM","2018-01-28T08:23:07Z"
1,"2018-01-29",38980,"3B","T",1330,1630,"Dm","2018-01-28T08:23:07Z"
1,"2018-01-29",45090,"DP","P",1700,1930,"EM","2018-01-28T08:23:07Z"
1,"2018-01-29",39550,"4B","F",2100,2100,NA,"2018-01-28T08:23:07Z"
1,"2018-01-29",27790,"4C","F",2400,2400,NA,"2018-01-28T08:23:07Z"
1,"2018-01-30",27030,"1F","F",30,30,NA,"2018-01-29T08:40:23Z"
1,"2018-01-30",27730,"1A","P",100,230,NA,"2018-01-29T08:40:23Z"
1,"2018-01-30",26470,"03","F",300,300,NA,"2018-01-29T08:40:23Z"
1,"2018-01-30",25630,"1B","T",430,730,"Om","2018-01-29T08:40:23Z"
1,"2018-01-30",40600,"2F","P",800,900,NA,"2018-01-29T08:40:23Z"
1,"2018-01-30",40840,"2A","P",930,1030,"DM","2018-01-29T08:40:23Z"
1,"2018-01-30",39130,"2B","P",1100,1300,NA,"2018-01-29T08:40:23Z"
1,"2018-01-30",38380,"3B","T",1330,1630,"Dm","2018-01-29T08:40:23Z"
